,TYPE,X,Y,Z,XYZ,XYZ_noisy
0,STD,0.2827079321175374,0.28372470386272647,0.28487808217467714,0.14659276778646682,0.14636156203631492
1,RMSE,0.2827086723518205,0.28372479914959453,0.28513118017325156,0.49165409078171823,0.48599570084748495
