,TYPE,X,Y,Z,XYZ,XYZ_noisy
0,STD,0.09293200929691267,0.06538833932831967,0.07316472207122342,0.05109453855500508,0.1304181145135891
1,RMSE,0.09293493529915088,0.06973578979584279,0.07325224527284396,0.13735309976487686,0.4976363436376877
